mean,median,std,count,min,max
7051.640068027211,6564.2,5263.177639957241,147,28.0,26170.95
6703.6262962962965,5414.75,4830.8086549330155,135,63.0,21381.14
6607.375299145299,5532.85,4502.721775005411,117,49.0,18473.63
6557.096518518519,5290.76,4635.509972795877,135,70.0,19995.68
6530.839795918367,5096.0,4481.380537823147,147,7.0,17718.25
6496.631463414635,5012.0,4907.60783623998,123,252.0,18494.72
6368.454933333333,5328.4,4627.67356189465,150,273.0,21044.07
6328.819717514125,5119.35,4836.772586406102,177,7.0,22717.09
6183.712847222222,5904.555,3519.003384909984,144,105.0,17104.04
6059.908525641025,4824.355,5310.851163254196,156,273.0,22943.37
6058.948275862069,6009.860000000001,3265.9871799284706,174,420.0,14360.42
6042.551944444445,5088.049999999999,4149.6872623081035,180,70.0,15789.48
5893.017823129252,4285.13,4762.563682289728,147,301.0,18389.1
5870.752847222222,6130.594999999999,4022.096438854107,144,602.0,17037.09
5844.474113475178,4571.0,4284.897010197407,141,49.0,16112.73
5790.936358024692,5506.285,4166.854688068145,162,63.0,14887.76
5755.939147286822,4920.68,4133.74166787791,129,84.0,18687.87
5581.437800000001,4707.66,4726.064722571134,150,63.0,21812.86
5538.5997777777775,5042.98,3607.742619191801,180,308.0,20690.2
5528.5264,5231.844999999999,4153.077557377298,150,168.0,17280.98
5375.76365079365,5504.21,3557.856587053638,126,126.0,14193.58
4894.318869047619,3748.0950000000003,4169.244234128923,168,91.0,19390.61
